Raiders of the Lost Ark (1981),Strictly Ballroom (1992),Meet Wally Sparks (1997),Small Faces (1995),Don Juan DeMarco (1995),"Man of No Importance, A (1994)",Unhook the Stars (1996),Alien: Resurrection (1997),Bloodsport 2 (1995),Meet John Doe (1941)
Cyrano de Bergerac (1990),Love Is All There Is (1996),"Third Man, The (1949)",Heaven & Earth (1993),Canadian Bacon (1994),"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)","Silence of the Lambs, The (1991)","Very Brady Sequel, A (1996)",Escape to Witch Mountain (1975),Captives (1994)
Forrest Gump (1994),"Mirror Has Two Faces, The (1996)",Pushing Hands (1992),"American President, The (1995)",Shadows (Cienie) (1988),Safe Passage (1994),"Omen, The (1976)",My Life as a Dog (Mitt liv som hund) (1985),Enchanted April (1991),Heaven's Prisoners (1996)
Willy Wonka and the Chocolate Factory (1971),"Queen Margot (Reine Margot, La) (1994)",Akira (1988),Foreign Correspondent (1940),Kaspar Hauser (1993),"Butcher Boy, The (1998)",Toy Story (1995),Gabbeh (1996),"Thin Man, The (1934)",Touch of Evil (1958)
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",Safe Passage (1994),"Mirror Has Two Faces, The (1996)","Visitors, The (Visiteurs, Les) (1993)","Man of No Importance, A (1994)",Amityville II: The Possession (1982),Matilda (1996),Marlene Dietrich: Shadow and Light (1996) ,Stargate (1994),Sliding Doors (1998)
Butch Cassidy and the Sundance Kid (1969),Get Shorty (1995),Contact (1997),Six Degrees of Separation (1993),Bringing Up Baby (1938),Sgt. Bilko (1996),Reality Bites (1994),Mad Love (1995),"Rainmaker, The (1997)",Some Mother's Son (1996)
Leave It to Beaver (1997),Speed 2: Cruise Control (1997),"Love Bug, The (1969)","Bewegte Mann, Der (1994)",Vegas Vacation (1997),Home Alone 3 (1997),"Little Princess, A (1995)","Silence of the Lambs, The (1991)","Glimmer Man, The (1996)",Denise Calls Up (1995)
Heavenly Creatures (1994),On Golden Pond (1981),Addams Family Values (1993),Love Serenade (1996),Carrie (1976),"Fugitive, The (1993)","Sword in the Stone, The (1963)",Evil Dead II (1987),Bio-Dome (1996),"Little Princess, A (1995)"
Contact (1997),Supercop (1992),"Magnificent Seven, The (1954)","Walking Dead, The (1995)",Little City (1998),Mad City (1997),Oliver & Company (1988),Lawrence of Arabia (1962),Operation Dumbo Drop (1995),Kids in the Hall: Brain Candy (1996)
Contact (1997),Moll Flanders (1996),Flubber (1997),Sphere (1998),"Boys, Les (1997)",Austin Powers: International Man of Mystery (1997),Clueless (1995),Great Expectations (1998),Female Perversions (1996),"Murder, My Sweet (1944)"
"Nightmare Before Christmas, The (1993)",Dangerous Minds (1995),To Kill a Mockingbird (1962),Tom & Viv (1994),"Cure, The (1995)",Bird of Prey (1996),Raise the Red Lantern (1991),Dark City (1998),Deceiver (1997),"Boys of St. Vincent, The (1993)"
Forrest Gump (1994),Mother Night (1996),Sliding Doors (1998),Bitter Sugar (Azucar Amargo) (1996),Contact (1997),Jean de Florette (1986),"Cure, The (1995)",Star Trek: First Contact (1996),Jefferson in Paris (1995),"Neon Bible, The (1995)"
Free Willy 3: The Rescue (1997),Love and Death on Long Island (1997),Nobody's Fool (1994),Flesh and Bone (1993),8 1/2 (1963),Clean Slate (1994),"Hudsucker Proxy, The (1994)",Phenomenon (1996),Target (1995),Hugo Pool (1997)
Chasing Amy (1997),Get Shorty (1995),Weekend at Bernie's (1989),"Lion King, The (1994)",City of Angels (1998),"Invitation, The (Zaproszenie) (1986)",Nobody's Fool (1994),"Baby-Sitters Club, The (1995)",Being Human (1993),Rough Magic (1995)
Twelve Monkeys (1995),Ponette (1996),"Silence of the Lambs, The (1991)","Babysitter, The (1995)",Set It Off (1996),Murder in the First (1995),Celestial Clockwork (1994),"Lay of the Land, The (1997)",E.T. the Extra-Terrestrial (1982),Two Much (1996)
"Silence of the Lambs, The (1991)",Deep Rising (1998),Jackie Brown (1997),"Grand Day Out, A (1992)",Kull the Conqueror (1997),Jeffrey (1995),"Big Green, The (1995)",Romeo Is Bleeding (1993),"Butcher Boy, The (1998)",Original Gangstas (1996)
Waiting for Guffman (1996),"English Patient, The (1996)",Butch Cassidy and the Sundance Kid (1969),Hotel de Love (1996),Audrey Rose (1977),Forrest Gump (1994),Sgt. Bilko (1996),Stripes (1981),Jerry Maguire (1996),"Sixth Man, The (1997)"
Singin' in the Rain (1952),Monty Python's Life of Brian (1979),Mad City (1997),"Gate of Heavenly Peace, The (1995)",Forrest Gump (1994),Hotel de Love (1996),Washington Square (1997),Calendar Girl (1993),"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Bonnie and Clyde (1967)
Austin Powers: International Man of Mystery (1997),Private Parts (1997),"Fifth Element, The (1997)",Leaving Las Vegas (1995),Chasing Amy (1997),Ready to Wear (Pret-A-Porter) (1994),Wings of Desire (1987),Emma (1996),Naked in New York (1994),Bean (1997)
Titanic (1997),Hedd Wyn (1992),"Babysitter, The (1995)",Twelfth Night (1996),Jean de Florette (1986),Desperado (1995),Pinocchio (1940),Stranger in the House (1997),"Air Up There, The (1994)","Beans of Egypt, Maine, The (1994)"
Meet Wally Sparks (1997),Sliding Doors (1998),Forrest Gump (1994),Calendar Girl (1993),Hotel de Love (1996),Rent-a-Kid (1995),"Great Day in Harlem, A (1994)",Baton Rouge (1988),Back to the Future (1985),"Apartment, The (1960)"
Kull the Conqueror (1997),Hercules (1997),Daylight (1996),I Don't Want to Talk About It (De eso no se habla) (1993),George of the Jungle (1997),No Escape (1994),Duck Soup (1933),"Firm, The (1993)",Backbeat (1993),"Lion King, The (1994)"
Phantoms (1998),Mad City (1997),Telling Lies in America (1997),Washington Square (1997),Miracle on 34th Street (1994),Chinatown (1974),"Lawnmower Man, The (1992)",New Jersey Drive (1995),Snow White and the Seven Dwarfs (1937),My Best Friend's Wedding (1997)
Pulp Fiction (1994),Unhook the Stars (1996),Carrington (1995),Kull the Conqueror (1997),Tin Cup (1996),I Know What You Did Last Summer (1997),Cyrano de Bergerac (1990),Alien (1979),Bad Moon (1996),"Usual Suspects, The (1995)"
Conan the Barbarian (1981),"Jungle Book, The (1994)","Fish Called Wanda, A (1988)",Top Gun (1986),Face/Off (1997),Being Human (1993),Aladdin (1992),Pulp Fiction (1994),Get Shorty (1995),"Modern Affair, A (1995)"
Spice World (1997),Contact (1997),Death in Brunswick (1991),Picnic (1955),Frankie Starlight (1995),It Takes Two (1995),"Beans of Egypt, Maine, The (1994)",Faces (1968),"Jungle Book, The (1994)",King of the Hill (1993)
Red Corner (1997),Rear Window (1954),Ulee's Gold (1997),"Celluloid Closet, The (1995)",Winnie the Pooh and the Blustery Day (1968),Palmetto (1998),Amityville: Dollhouse (1996),Speed 2: Cruise Control (1997),Star Trek VI: The Undiscovered Country (1991),Destiny Turns on the Radio (1995)
Apollo 13 (1995),Tomorrow Never Dies (1997),Cinema Paradiso (1988),"Silence of the Lambs, The (1991)","Magnificent Seven, The (1954)","Butcher Boy, The (1998)",Ill Gotten Gains (1997),Sabrina (1954),"Babysitter, The (1995)",Waiting for Guffman (1996)
Terminator 2: Judgment Day (1991),Sabrina (1995),"Last of the Mohicans, The (1992)",On Golden Pond (1981),Normal Life (1996),E.T. the Extra-Terrestrial (1982),Hoop Dreams (1994),Lover's Knot (1996),Stranger in the House (1997),Crows and Sparrows (1949)
"Search for One-eye Jimmy, The (1996)",Star Wars (1977),"Godfather: Part II, The (1974)",Back to the Future (1985),Copycat (1995),"Rock, The (1996)",Mouse Hunt (1997),Gigi (1958),Willy Wonka and the Chocolate Factory (1971),Gattaca (1997)
Stargate (1994),Just Cause (1995),Escape from New York (1981),Angela (1995),"Smile Like Yours, A (1997)",Meet John Doe (1941),Cosi (1996),"Secret of Roan Inish, The (1994)","Pyromaniac's Love Story, A (1995)",Wag the Dog (1997)
"Godfather, The (1972)",Mystery Science Theater 3000: The Movie (1996),Twister (1996),"Wrong Trousers, The (1993)",Dave (1993),Jackie Chan's First Strike (1996),"Associate, The (1996)",In the Bleak Midwinter (1995),Beautiful Thing (1996),Bed of Roses (1996)
"Hunt for Red October, The (1990)",Wes Craven's New Nightmare (1994),Spawn (1997),Hedd Wyn (1992),Reality Bites (1994),Forrest Gump (1994),Desperate Measures (1998),Ma vie en rose (My Life in Pink) (1997),Small Faces (1995),"Parent Trap, The (1961)"
Boogie Nights (1997),Jerry Maguire (1996),L.A. Confidential (1997),Only You (1994),Casino (1995),"Funeral, The (1996)",Angel on My Shoulder (1946),Drop Dead Fred (1991),Rough Magic (1995),When the Cats Away (Chacun cherche son chat) (1996)
Raiders of the Lost Ark (1981),My Crazy Life (Mi vida loca) (1993),Hotel de Love (1996),Roommates (1995),Exit to Eden (1994),Mad City (1997),Shadows (Cienie) (1988),Rhyme & Reason (1997),"African Queen, The (1951)","Madness of King George, The (1994)"
Ed Wood (1994),"Young Poisoner's Handbook, The (1995)",Six Degrees of Separation (1993),8 Seconds (1994),Jeffrey (1995),Marvin's Room (1996),Cyclo (1995),"Net, The (1995)","Eye of Vichy, The (Oeil de Vichy, L') (1993)",Star Trek: The Motion Picture (1979)
Trainspotting (1996),"Pillow Book, The (1995)",Anne Frank Remembered (1995),Dead Man Walking (1995),Platoon (1986),Amityville: Dollhouse (1996),Murder in the First (1995),Searching for Bobby Fischer (1993),Supercop (1992),When the Cats Away (Chacun cherche son chat) (1996)
Much Ado About Nothing (1993),Wild America (1997),Nightwatch (1997),Cool Hand Luke (1967),"Full Monty, The (1997)","Funeral, The (1996)",Night Flier (1997),Angel Baby (1995),Purple Noon (1960),Hercules (1997)
"African Queen, The (1951)",Two Much (1996),"Treasure of the Sierra Madre, The (1948)",Once Upon a Time in America (1984),"Visitors, The (Visiteurs, Les) (1993)","Tango Lesson, The (1997)",For Richer or Poorer (1997),Raise the Red Lantern (1991),Swiss Family Robinson (1960),"Jungle Book, The (1994)"
Raiders of the Lost Ark (1981),Lover's Knot (1996),Nikita (La Femme Nikita) (1990),"Smile Like Yours, A (1997)",Fargo (1996),Frankie Starlight (1995),Assassins (1995),"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",All About Eve (1950),Forrest Gump (1994)
Ransom (1996),"Crucible, The (1996)",Etz Hadomim Tafus (Under the Domin Tree) (1994),Amityville II: The Possession (1982),Ill Gotten Gains (1997),Ponette (1996),Breakdown (1997),Forbidden Planet (1956),High School High (1996),Exit to Eden (1994)
Pulp Fiction (1994),Die Hard (1988),"Wings of the Dove, The (1997)",Delicatessen (1991),"Believers, The (1987)",Getting Away With Murder (1996),Chairman of the Board (1998),Things to Do in Denver when You're Dead (1995),"Story of Xinghua, The (1993)",Death and the Maiden (1994)
Star Trek: First Contact (1996),Surviving the Game (1994),Some Mother's Son (1996),Sliding Doors (1998),Shadow of Angels (Schatten der Engel) (1976),Jean de Florette (1986),James and the Giant Peach (1996),Dead Man (1995),Tom & Viv (1994),Things to Do in Denver when You're Dead (1995)
"Fugitive, The (1993)",Fly Away Home (1996),Apollo 13 (1995),Multiplicity (1996),"Philadelphia Story, The (1940)","Endless Summer 2, The (1994)",Aladdin and the King of Thieves (1996),Field of Dreams (1989),It Happened One Night (1934),Donnie Brasco (1997)
Strictly Ballroom (1992),Chasing Amy (1997),Love! Valour! Compassion! (1997),Outbreak (1995),Dream With the Fishes (1997),Night of the Living Dead (1968),"Ruling Class, The (1972)",Ayn Rand: A Sense of Life (1997),"Thin Line Between Love and Hate, A (1996)",Two Much (1996)
Dead Poets Society (1989),Taxi Driver (1976),To Die For (1995),Two Much (1996),King of the Hill (1993),True Romance (1993),Army of Darkness (1993),Guantanamera (1994),Ready to Wear (Pret-A-Porter) (1994),Batman & Robin (1997)
Wes Craven's New Nightmare (1994),"African Queen, The (1951)",Hurricane Streets (1998),"Death in the Garden (Mort en ce jardin, La) (1956)",Mortal Kombat: Annihilation (1997),Jimmy Hollywood (1994),"Secret of Roan Inish, The (1994)",Waiting to Exhale (1995),"Hungarian Fairy Tale, A (1987)","American President, The (1995)"
Conspiracy Theory (1997),Fly Away Home (1996),"Truman Show, The (1998)",Wag the Dog (1997),"Graduate, The (1967)",Celtic Pride (1996),"Old Man and the Sea, The (1958)",Hurricane Streets (1998),Flesh and Bone (1993),Addams Family Values (1993)
"African Queen, The (1951)",How to Be a Player (1997),What's Eating Gilbert Grape (1993),Tin Men (1987),Jade (1995),"Usual Suspects, The (1995)","Hate (Haine, La) (1995)","Wedding Singer, The (1998)",Star Trek III: The Search for Spock (1984),Squeeze (1996)
Waiting for Guffman (1996),Fargo (1996),Blue Chips (1994),"NeverEnding Story III, The (1994)",My Family (1995),Hana-bi (1997),Escape to Witch Mountain (1975),Henry V (1989),Reservoir Dogs (1992),Billy Madison (1995)
Local Hero (1983),Venice/Venice (1992),In & Out (1997),Don Juan DeMarco (1995),Contact (1997),Small Faces (1995),Guilty as Sin (1993),"People vs. Larry Flynt, The (1996)",Duoluo tianshi (1995),Curdled (1996)
Curdled (1996),Dances with Wolves (1990),King of the Hill (1993),"Crucible, The (1996)",Monty Python's Life of Brian (1979),"Shining, The (1980)",Dead Poets Society (1989),Sleepover (1995),Diabolique (1996),"Bronx Tale, A (1993)"
Return of the Jedi (1983),Courage Under Fire (1996),Contact (1997),Top Gun (1986),Bliss (1997),"Big Squeeze, The (1996)",Two or Three Things I Know About Her (1966),Infinity (1996),"Convent, The (Convento, O) (1995)",Killer (Bulletproof Heart) (1994)
Relative Fear (1994),On Golden Pond (1981),Snow White and the Seven Dwarfs (1937),"African Queen, The (1951)",Top Gun (1986),While You Were Sleeping (1995),Star Trek: First Contact (1996),Heaven's Prisoners (1996),Freeway (1996),Kicked in the Head (1997)
Jerry Maguire (1996),12 Angry Men (1957),"Rock, The (1996)","Silence of the Lambs, The (1991)",First Kid (1996),Mr. Magoo (1997),Farewell My Concubine (1993),Mr. Holland's Opus (1995),Kicking and Screaming (1995),"Butcher Boy, The (1998)"
When the Cats Away (Chacun cherche son chat) (1996),"Close Shave, A (1995)",In the Army Now (1994),Kiss the Girls (1997),Don Juan DeMarco (1995),Kissed (1996),Forrest Gump (1994),Wes Craven's New Nightmare (1994),Jean de Florette (1986),Around the World in 80 Days (1956)
Mary Poppins (1964),"Leopard Son, The (1996)",Crossfire (1947),"Abyss, The (1989)",Boys on the Side (1995),Supercop (1992),Bram Stoker's Dracula (1992),Kim (1950),Stonewall (1995),Turbo: A Power Rangers Movie (1997)
Forrest Gump (1994),Blade Runner (1982),Ladybird Ladybird (1994),Like Water For Chocolate (Como agua para chocolate) (1992),Higher Learning (1995),Gigi (1958),Raise the Red Lantern (1991),That Darn Cat! (1997),"Air Up There, The (1994)",Jean de Florette (1986)
"Terminator, The (1984)",GoodFellas (1990),Quartier Mozart (1992),New York Cop (1996),Here Comes Cookie (1935),Buddy (1997),Dangerous Ground (1997),Meet Wally Sparks (1997),Crossfire (1947),Deep Rising (1998)
"Godfather, The (1972)",Forrest Gump (1994),One Flew Over the Cuckoo's Nest (1975),"Usual Suspects, The (1995)",Two Deaths (1995),Blue Sky (1994),Little City (1998),Secrets & Lies (1996),"Death in the Garden (Mort en ce jardin, La) (1956)",Heavy Metal (1981)
Good Will Hunting (1997),Dead Man Walking (1995),Safe Passage (1994),King of the Hill (1993),Mr. Holland's Opus (1995),Someone Else's America (1995),Curdled (1996),G.I. Jane (1997),Stonewall (1995),Top Gun (1986)
It's a Wonderful Life (1946),Getting Away With Murder (1996),King of the Hill (1993),Trees Lounge (1996),"Apostle, The (1997)",Twelve Monkeys (1995),Pinocchio (1940),Star Trek III: The Search for Spock (1984),Heavy (1995),Hercules (1997)
Stonewall (1995),Wes Craven's New Nightmare (1994),Mother Night (1996),In the Mouth of Madness (1995),Tin Cup (1996),Maya Lin: A Strong Clear Vision (1994),Restoration (1995),Blade Runner (1982),Happy Gilmore (1996),Feeling Minnesota (1996)
"Wedding Singer, The (1998)",Tin Cup (1996),"Man Who Would Be King, The (1975)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Booty Call (1997),Henry V (1989),Life with Mikey (1993),"Joy Luck Club, The (1993)","Babysitter, The (1995)",Midnight in the Garden of Good and Evil (1997)
In & Out (1997),Love! Valour! Compassion! (1997),When the Cats Away (Chacun cherche son chat) (1996),Gabbeh (1996),I'm Not Rappaport (1996),House Arrest (1996),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",National Lampoon's Senior Trip (1995),When Harry Met Sally... (1989),"Bronx Tale, A (1993)"
Chasing Amy (1997),Muriel's Wedding (1994),Fargo (1996),Meet John Doe (1941),Blade Runner (1982),Mary Shelley's Frankenstein (1994),Sunset Blvd. (1950),Lone Star (1996),"Full Monty, The (1997)",Anna (1996)
Red Rock West (1992),Amistad (1997),Quiz Show (1994),Mute Witness (1994),"Getaway, The (1994)",Eat Drink Man Woman (1994),Cold Comfort Farm (1995),Enchanted April (1991),Across the Sea of Time (1995),"Life Less Ordinary, A (1997)"
Heat (1995),Up Close and Personal (1996),"Wrong Trousers, The (1993)",Pump Up the Volume (1990),Return of the Jedi (1983),Supercop (1992),Unforgettable (1996),Commandments (1997),Henry V (1989),Chairman of the Board (1998)
Delicatessen (1991),S.F.W. (1994),"Wings of the Dove, The (1997)",Mary Poppins (1964),Backbeat (1993),Swingers (1996),Richie Rich (1994),"Ruling Class, The (1972)",Victor/Victoria (1982),"Sting, The (1973)"
My Life as a Dog (Mitt liv som hund) (1985),Kiss the Girls (1997),Being Human (1993),Some Mother's Son (1996),Thinner (1996),House Party 3 (1994),"Air Up There, The (1994)",Rent-a-Kid (1995),"River Wild, The (1994)","Paris, Texas (1984)"
Relative Fear (1994),Faces (1968),Buddy (1997),Deceiver (1997),Pink Floyd - The Wall (1982),"Rainmaker, The (1997)",Bent (1997),My Life as a Dog (Mitt liv som hund) (1985),For Richer or Poorer (1997),Jean de Florette (1986)
"Streetcar Named Desire, A (1951)","Grifters, The (1990)",Shooting Fish (1997),Mina Tannenbaum (1994),Nobody's Fool (1994),Kicking and Screaming (1995),Dances with Wolves (1990),Bad Company (1995),"Very Brady Sequel, A (1996)",Hush (1998)
Contact (1997),"Tango Lesson, The (1997)",Hugo Pool (1997),"Damsel in Distress, A (1937)",Stand by Me (1986),187 (1997),Nelly & Monsieur Arnaud (1995),Germinal (1993),Alphaville (1965),Star Trek VI: The Undiscovered Country (1991)
Indiana Jones and the Last Crusade (1989),Jurassic Park (1993),Kiss the Girls (1997),"Cure, The (1995)",Hoop Dreams (1994),Mary Shelley's Frankenstein (1994),Spawn (1997),"Air Up There, The (1994)",Maya Lin: A Strong Clear Vision (1994),Caught (1996)
Ma vie en rose (My Life in Pink) (1997),"Life Less Ordinary, A (1997)",Cops and Robbersons (1994),"Christmas Carol, A (1938)",Muriel's Wedding (1994),For Ever Mozart (1996),Assassins (1995),Dolores Claiborne (1994),That Old Feeling (1997),Caught (1996)
Faces (1968),Mary Reilly (1996),My Life as a Dog (Mitt liv som hund) (1985),"City of Lost Children, The (1995)","Omen, The (1976)",Michael (1996),Johns (1996),Swimming with Sharks (1995),Heidi Fleiss: Hollywood Madam (1995) ,To Be or Not to Be (1942)
It Happened One Night (1934),Short Cuts (1993),"Birdcage, The (1996)",Sliding Doors (1998),Bitter Sugar (Azucar Amargo) (1996),"African Queen, The (1951)","Wooden Man's Bride, The (Wu Kui) (1994)",Gigi (1958),Up Close and Personal (1996),Mary Poppins (1964)
E.T. the Extra-Terrestrial (1982),"Magnificent Seven, The (1954)",Sphere (1998),"Empire Strikes Back, The (1980)",American Strays (1996),Until the End of the World (Bis ans Ende der Welt) (1991),Young Guns (1988),Turbulence (1997),Forbidden Planet (1956),Set It Off (1996)
Jeffrey (1995),"Killing Fields, The (1984)",Captives (1994),Star Trek VI: The Undiscovered Country (1991),"Hunchback of Notre Dame, The (1996)","Butcher Boy, The (1998)","Big Green, The (1995)",Commandments (1997),Deep Rising (1998),Mary Poppins (1964)
Matilda (1996),Mr. Holland's Opus (1995),"Abyss, The (1989)",Hotel de Love (1996),Turbulence (1997),Small Faces (1995),Curdled (1996),Heaven's Prisoners (1996),Warriors of Virtue (1997),It's a Wonderful Life (1946)
Michael Collins (1996),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),She's So Lovely (1997),Clerks (1994),"Princess Bride, The (1987)",Sleepers (1996),"Portrait of a Lady, The (1996)",Swimming with Sharks (1995),"Hunt for Red October, The (1990)",Liar Liar (1997)
Toy Story (1995),"Sword in the Stone, The (1963)","Crow, The (1994)",Wings of Desire (1987),Delicatessen (1991),Field of Dreams (1989),"Big Sleep, The (1946)",Switchback (1997),Pulp Fiction (1994),Tie Me Up! Tie Me Down! (1990)
Disclosure (1994),"NeverEnding Story III, The (1994)",Mother Night (1996),An Unforgettable Summer (1994),Air Force One (1997),Twelfth Night (1996),Midnight in the Garden of Good and Evil (1997),Tom & Viv (1994),Forrest Gump (1994),Meet John Doe (1941)
"Godfather: Part II, The (1974)",Ayn Rand: A Sense of Life (1997),Meet John Doe (1941),Wes Craven's New Nightmare (1994),"Jungle Book, The (1994)","Air Up There, The (1994)","Walk in the Sun, A (1945)",Two if by Sea (1996),Blade Runner (1982),Sliver (1993)
Cold Comfort Farm (1995),Manhattan (1979),Unforgettable (1996),Sprung (1997),Female Perversions (1996),When a Man Loves a Woman (1994),"Philadelphia Story, The (1940)","Ghost and Mrs. Muir, The (1947)",Hard Rain (1998),"Man Who Would Be King, The (1975)"
Get Shorty (1995),Con Air (1997),Star Wars (1977),"Woman in Question, The (1950)",Batman (1989),"Secret Adventures of Tom Thumb, The (1993)",Naked (1993),"Month by the Lake, A (1995)",Being Human (1993),"Maltese Falcon, The (1941)"
Good Will Hunting (1997),"Stranger, The (1994)","Sword in the Stone, The (1963)",Robocop 3 (1993),"Eye of Vichy, The (Oeil de Vichy, L') (1993)",Stripes (1981),Smoke (1995),Copycat (1995),"Apostle, The (1997)","Great White Hype, The (1996)"
"Great White Hype, The (1996)","Relic, The (1997)",Mina Tannenbaum (1994),"Sword in the Stone, The (1963)",My Favorite Year (1982),Rudy (1993),Little Buddha (1993),Wild Things (1998),"Piano, The (1993)",Wings of Desire (1987)
Three Lives and Only One Death (1996),Persuasion (1995),Female Perversions (1996),Kingpin (1996),8 Seconds (1994),American Dream (1990),Kaspar Hauser (1993),Children of the Corn: The Gathering (1996),No Escape (1994),"Young Poisoner's Handbook, The (1995)"
Gandhi (1982),"African Queen, The (1951)",Sliding Doors (1998),Henry V (1989),"Secret of Roan Inish, The (1994)",Ghost (1990),Back to the Future (1985),"Aristocats, The (1970)",Meet John Doe (1941),Apollo 13 (1995)
Hercules (1997),Farewell My Concubine (1993),First Kid (1996),"Locusts, The (1997)",Nixon (1995),"Truth About Cats & Dogs, The (1996)","Apostle, The (1997)",Vegas Vacation (1997),Nénette et Boni (1996),"Killing Fields, The (1984)"
Gattaca (1997),Contact (1997),Jefferson in Paris (1995),Lover's Knot (1996),"Island of Dr. Moreau, The (1996)",Picture Perfect (1997),Ed Wood (1994),It Happened One Night (1934),Titanic (1997),Two Friends (1986) 
Poison Ivy II (1995),Moll Flanders (1996),"Room with a View, A (1986)",Ill Gotten Gains (1997),"Other Voices, Other Rooms (1997)",My Man Godfrey (1936),"Thin Man, The (1934)",Widows' Peak (1994),Fear (1996),"Pillow Book, The (1995)"
Boogie Nights (1997),"Full Monty, The (1997)",Contact (1997),L.A. Confidential (1997),Nadja (1994),Night Flier (1997),12 Angry Men (1957),Brother Minister: The Assassination of Malcolm X (1994),Henry V (1989),"Terminator, The (1984)"
Sense and Sensibility (1995),Fargo (1996),Star Wars (1977),Bent (1997),"Quiet Room, The (1996)",Amistad (1997),"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Fierce Creatures (1997),Being Human (1993),Kansas City (1996)
Ghost (1990),Toy Story (1995),Ben-Hur (1959),"Smile Like Yours, A (1997)",Private Parts (1997),"Little Princess, A (1995)","Terminator, The (1984)","Niagara, Niagara (1997)","Stranger, The (1994)",Boys on the Side (1995)
Babyfever (1994),Mars Attacks! (1996),Angels and Insects (1995),Stand by Me (1986),Akira (1988),"Big Green, The (1995)","Devil's Advocate, The (1997)",Madame Butterfly (1995),Flirt (1995),William Shakespeare's Romeo and Juliet (1996)
